Aa en Hunze,Achtkarspelen,Ameland,Appingedam,Assen,Bedum,Bellingwedde,het Bildt,Boarnsterhim,Ten Boer,Borger-Odoorn,Coevorden,Dantumadiel,Delfzijl,Dongeradeel,Eemsmond,Emmen,Ferwerderadiel,Franekeradeel,De Friese Meren,De Fryske Marren,Gaasterlân-Sleat,Groningen,Grootegast,Haren,Harlingen,Heerenveen,Hoogeveen,Hoogezand-Sappemeer,Kollumerland en Nieuwkruisland,Leek,Leeuwarden,Leeuwarderadeel,Lemsterland,Littenseradiel,Loppersum,De Marne,Marum,Menameradiel,Menterwolde,Meppel,Midden-Drenthe,Midden-Groningen,Noordenveld,Oldambt,Ooststellingwerf,Opsterland,Pekela,Schiermonnikoog,Skarsterlân,Slochteren,Smallingerland,Stadskanaal,Súdwest-Fryslân,Terschelling,Tynaarlo,Tytsjerksteradiel,Veendam,Vlagtwedde,Vlieland,Waadhoeke,Westerveld,Westerwolde,Weststellingwerf,Winsum,De Wolden,Zuidhorn
1,61,0,0,0,1,,,,0,0,0,1,0,146,0,0,11,,,3,,38,0,0,2,9,0,,65,0,88,,,,0,2,1,,,0,3,0,2,5,3,15,0,2,,,32,0,14,0,0,115,0,,1,15,0,1,4,1,4,0
10,3,0,228,32,16,,,,13,5,3,0,1,2,31,8,0,,,2,,242,13,9,0,1,6,,2,4,12,,,,47,13,4,,,3,2,143,2,102,8,0,12,0,,,8,9,6,3,16,2,25,,0,2,4,23,0,10,3,5
1,21,9,0,3,0,,,,0,2,0,178,2,1,0,0,37,,,6,,55,4,0,4,16,2,,47,5,112,,,,0,6,0,,,2,3,2,4,0,0,10,0,0,,,26,1,15,1,2,27,0,,0,12,4,0,6,0,0,1
7,2,0,9,17,38,,,,9,0,4,0,37,3,1,1,0,,,2,,148,4,5,0,0,4,,2,13,7,,,,72,20,0,,,1,2,42,6,15,4,3,1,1,,,11,0,2,1,22,1,11,,0,0,2,2,0,46,5,10
37,3,1,3,94,5,,,,2,219,519,0,6,1,0,1,0,,,7,,342,2,2,1,2,106,,0,8,56,,,,0,2,1,,,24,51,28,18,12,18,4,12,1,,,9,94,8,1,12,7,24,,1,1,11,142,3,0,16,4
0,15,8,0,0,0,,,,0,0,0,15,0,66,0,0,1,,,2,,19,0,0,5,4,0,,2,5,108,,,,1,0,0,,,0,8,0,1,0,0,7,0,0,,,7,0,6,0,0,15,0,,3,41,0,0,2,0,0,0
,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,1,0,13,0,,,,0,4,1,9,2,7,1,10,4,,,1,,164,1,1,7,286,0,,3,0,164,,,,0,1,4,,,5,6,0,3,2,11,39,1,0,,,43,1,294,6,5,26,0,,0,28,9,4,33,0,0,4
,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,44,13,62,580,196,,,,191,96,68,22,141,30,117,252,10,,,115,,1,76,811,28,166,113,,24,363,379,,,,114,93,95,,,83,141,780,470,229,75,90,41,8,,,222,101,202,12,875,57,218,,10,71,56,64,32,223,54,359
3,68,1,0,11,0,,,,1,2,0,0,5,2,12,6,0,,,4,,69,1,0,0,2,1,,5,39,16,,,,1,1,76,,,0,0,9,27,4,14,18,1,0,,,35,0,0,0,5,4,1,,0,3,0,2,1,0,0,52
10,2,1,0,33,11,,,,3,3,1,0,2,1,6,8,0,,,5,,461,0,1,1,5,6,,1,8,14,,,,4,2,6,,,4,2,52,19,5,2,6,2,2,,,6,6,3,0,110,0,3,,0,1,2,1,1,12,0,17
0,9,2,0,2,0,,,,0,1,0,3,0,1,0,2,1,,,8,,36,0,2,1,19,0,,4,2,114,,,,0,2,0,,,5,0,2,2,2,0,2,0,0,,,4,0,83,24,2,3,0,,11,109,1,1,4,0,0,0
1,5,4,0,14,0,,,,1,1,10,4,3,12,2,4,8,,,292,,171,13,7,8,1,4,,6,5,270,,,,1,2,7,,,13,9,7,4,2,52,219,0,0,,,125,1,119,7,5,19,3,,3,30,15,3,157,2,4,0
15,0,0,1,87,0,,,,0,17,132,4,5,0,0,123,0,,,3,,149,4,4,0,12,1,,2,2,16,,,,0,1,3,,,76,97,21,7,3,8,0,3,0,,,10,4,7,1,9,1,3,,0,7,23,8,7,2,248,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,84,0,0,2,4,,,,0,0,1,95,0,59,0,0,6,,,4,,37,10,0,0,13,1,,1,6,63,,,,0,9,2,,,0,0,5,1,2,5,6,0,0,,,17,0,9,0,1,42,0,,0,9,1,0,0,0,0,23
10,1,0,1,28,0,,,,5,4,0,0,6,0,4,2,1,,,0,,313,49,14,1,2,3,,1,1,24,,,,3,1,107,,,1,5,36,149,8,10,13,5,2,,,16,4,5,4,22,6,8,,0,3,1,1,2,8,4,55
10,84,49,6,45,2,,,,1,3,11,62,11,74,7,43,75,,,114,,459,9,12,87,323,14,,36,15,1,,,,6,10,10,,,15,16,24,46,22,44,102,6,4,,,218,13,401,42,25,462,13,,18,614,31,16,65,7,22,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,1,68,5,33,,,,20,7,0,1,48,1,49,4,0,,,0,,124,3,7,0,1,3,,0,9,7,,,,1,7,1,,,1,4,20,5,14,1,2,2,0,,,1,3,6,1,13,0,12,,0,1,0,6,0,35,0,0
7,1,0,4,17,4,,,,4,5,4,1,6,4,42,4,0,,,0,,89,4,4,4,1,1,,8,10,8,,,,10,1,1,,,0,0,13,10,7,6,1,1,0,,,2,1,2,2,5,3,2,,0,0,0,6,1,80,0,18
8,13,0,1,11,1,,,,2,1,1,2,2,4,0,1,0,,,0,,87,59,0,0,11,3,,17,114,17,,,,0,1,1,,,0,0,11,31,1,21,16,0,0,,,52,0,1,1,11,3,1,,0,0,1,0,0,0,3,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0,16,2,,,,0,3,2,0,0,0,0,28,0,,,1,,104,0,2,0,16,66,,0,1,18,,,,1,1,0,,,1,10,5,5,2,0,1,4,0,,,1,0,9,0,2,6,0,,0,1,107,1,10,0,166,0
41,2,0,2,379,2,,,,0,26,80,3,5,4,0,40,0,,,4,,192,1,9,0,7,119,,1,3,13,,,,2,5,2,,,18,1,12,15,5,46,3,2,0,,,2,7,4,0,26,1,8,,0,1,49,7,2,0,27,8
48,6,4,59,96,9,,,,34,19,7,0,114,4,7,18,0,,,6,,682,6,56,1,5,7,,3,29,20,,,,29,9,10,,,4,23,1,29,172,18,1,31,0,,,33,47,3,4,90,4,305,,1,3,12,40,1,8,4,16
18,6,2,1,139,3,,,,5,13,19,0,14,3,7,19,0,,,12,,417,15,21,0,11,28,,3,136,33,,,,2,10,20,,,7,13,39,1,15,69,10,3,3,,,51,7,16,2,78,4,11,,0,20,11,11,6,7,4,24
8,3,3,14,45,6,,,,4,23,1,0,53,5,8,26,1,,,7,,210,8,11,1,0,7,,0,8,21,,,,3,3,1,,,1,11,136,23,1,2,2,111,0,,,7,62,3,3,33,3,83,,1,6,7,178,4,2,1,8
5,12,3,0,100,0,,,,2,3,2,4,2,2,0,11,0,,,10,,117,1,6,0,61,11,,4,26,36,,,,0,1,5,,,9,35,8,40,5,1,68,0,0,,,65,7,16,2,10,23,12,,1,6,42,6,54,0,6,5
7,20,2,1,6,6,,,,5,2,9,8,6,4,3,2,1,,,49,,101,17,5,5,208,4,,7,12,91,,,,1,1,34,,,1,6,1,9,5,105,1,0,0,,,329,0,28,0,1,36,2,,0,16,15,1,25,1,0,4
13,3,1,6,8,2,,,,1,16,1,0,10,0,2,12,0,,,1,,49,1,0,0,2,1,,0,0,3,,,,0,0,0,,,0,0,27,2,138,1,1,1,0,,,1,76,5,1,6,1,78,,0,0,0,57,1,0,0,2
0,1,0,0,5,2,,,,1,0,0,1,0,3,1,2,0,,,0,,6,0,0,0,1,0,,0,0,5,,,,0,2,2,,,0,0,1,0,1,0,0,0,1,,,2,0,0,0,0,0,0,,0,1,0,0,1,0,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
4,159,4,0,19,0,,,,4,3,8,26,5,23,2,13,8,,,28,,287,19,9,7,108,11,,19,27,243,,,,2,1,17,,,15,3,16,23,6,81,370,0,1,,,1,2,81,4,10,114,11,,3,35,16,11,34,2,3,16
78,5,0,1,67,1,,,,1,254,23,0,27,2,4,116,1,,,1,,176,0,6,0,9,22,,0,7,18,,,,8,1,3,,,5,10,35,4,52,6,2,44,0,,,4,1,11,3,27,10,63,,0,3,0,165,1,2,2,3
2,12,1,0,7,0,,,,0,1,5,11,2,14,0,11,7,,,267,,266,1,2,83,155,12,,4,3,464,,,,4,1,2,,,9,5,4,8,3,17,48,2,0,,,41,0,1,26,4,30,7,,9,163,10,8,31,3,1,4
0,3,4,0,6,1,,,,0,1,0,2,1,2,0,0,0,,,4,,13,0,0,16,2,0,,1,2,42,,,,1,5,2,,,0,0,3,1,4,1,1,0,0,,,4,0,25,1,3,1,2,,0,18,3,0,0,0,1,3
163,6,3,2,142,2,,,,6,15,6,0,9,2,4,13,0,,,1,,644,9,106,0,5,11,,5,16,29,,,,3,5,10,,,12,23,87,104,18,18,6,8,0,,,11,11,9,0,1,3,37,,0,5,3,7,1,6,3,12
0,93,3,0,7,0,,,,0,4,0,117,3,36,0,6,10,,,22,,79,3,4,9,35,8,,40,18,384,,,,0,2,0,,,10,3,10,1,3,16,32,0,0,,,159,2,41,2,4,1,0,,0,56,0,2,8,0,0,10
51,0,3,5,39,5,,,,2,14,4,0,17,1,3,31,0,,,2,,217,5,13,0,6,6,,0,4,20,,,,9,1,2,,,1,8,219,2,119,9,1,85,1,,,5,86,0,2,24,1,1,,0,1,1,42,0,3,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
0,2,1,0,5,0,,,,0,0,0,2,1,0,0,0,1,,,0,,12,0,1,5,3,0,,0,0,30,,,,0,0,0,,,0,0,2,1,0,2,3,1,0,,,6,1,3,1,0,1,0,,1,3,0,0,0,0,0,0
1,12,1,0,3,0,,,,0,5,2,23,1,17,0,3,26,,,33,,94,6,1,157,41,1,,7,7,715,,,,0,0,1,,,2,6,2,0,2,10,18,0,2,,,31,4,202,7,3,47,1,,4,1,3,4,8,1,3,1
10,0,2,0,43,0,,,,0,3,4,0,0,0,0,8,5,,,6,,63,0,3,1,16,32,,0,4,17,,,,0,5,0,,,117,39,2,6,1,39,7,1,0,,,11,1,6,3,5,7,0,,1,2,1,3,44,0,44,0
8,4,0,4,201,2,,,,2,56,218,6,128,5,10,197,1,,,56,,128,10,6,0,18,168,,5,5,26,,,,0,9,4,,,6,14,51,12,213,3,8,47,0,,,86,212,112,0,16,8,34,,0,151,2,1,0,9,10,14
0,16,0,0,7,0,,,,0,1,0,2,5,7,0,6,2,,,24,,43,0,3,4,110,4,,0,3,52,,,,0,1,1,,,24,12,2,3,3,32,16,1,0,,,22,2,22,0,1,2,0,,0,4,66,0,1,1,8,1
13,1,2,15,25,24,,,,6,5,0,3,9,6,47,0,0,,,0,,184,3,6,1,0,2,,0,8,5,,,,13,71,0,,,2,5,17,17,4,0,0,0,2,,,2,0,3,0,13,0,3,,0,1,0,0,0,1,0,22
0,0,0,0,9,0,,,,0,4,11,0,0,1,0,12,0,,,2,,45,1,1,0,0,196,,1,3,7,,,,0,0,0,,,155,26,0,4,2,1,0,0,0,,,0,1,0,1,1,2,0,,0,0,57,3,4,1,1,3
6,22,0,2,16,5,,,,4,2,4,0,5,2,6,2,0,,,1,,261,72,30,0,10,14,,22,57,18,,,,7,18,20,,,5,5,17,25,6,4,2,0,4,,,9,2,0,6,15,2,5,,0,8,0,2,2,17,0,1
